Tempo:134525; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:128363; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:132660; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:135173; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:126873; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:134746; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:132959; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:134226; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:134236; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:128513; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:319267; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:319972; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:321417; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:324621; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:318745; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:320079; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:319698; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:321679; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:317075; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:323409; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:637124; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:640773; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:635457; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:641638; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:639340; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:641160; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:640912; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:637144; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:634727; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:639388; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:953234; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:955906; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:958108; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:955913; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:978693; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1015179; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:957218; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:952730; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:953381; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:994102; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1274960; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1273870; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1276904; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1276452; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1271418; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1270708; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1275986; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1274761; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1273430; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1275951; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:3482391; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3484760; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3480949; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3484651; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3486601; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3479530; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3485700; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3487662; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3480400; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3483492; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:6964250; Processos:1; Repeticoes:2000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:6904297; Processos:1; Repeticoes:2000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:6966074; Processos:1; Repeticoes:2000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:6971518; Processos:1; Repeticoes:2000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:6973169; Processos:1; Repeticoes:2000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:6974509; Processos:1; Repeticoes:2000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:6950791; Processos:1; Repeticoes:2000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:6915995; Processos:1; Repeticoes:2000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:6917885; Processos:1; Repeticoes:2000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:6949517; Processos:1; Repeticoes:2000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:10404909; Processos:1; Repeticoes:3000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:10449433; Processos:1; Repeticoes:3000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:10457011; Processos:1; Repeticoes:3000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:10445794; Processos:1; Repeticoes:3000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:10451712; Processos:1; Repeticoes:3000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:10455018; Processos:1; Repeticoes:3000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:10356624; Processos:1; Repeticoes:3000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:10434357; Processos:1; Repeticoes:3000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:10451950; Processos:1; Repeticoes:3000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:10446836; Processos:1; Repeticoes:3000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:13939064; Processos:1; Repeticoes:4000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:13935713; Processos:1; Repeticoes:4000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:13918207; Processos:1; Repeticoes:4000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:13936150; Processos:1; Repeticoes:4000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:13944209; Processos:1; Repeticoes:4000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:13949217; Processos:1; Repeticoes:4000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:13917515; Processos:1; Repeticoes:4000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:13936215; Processos:1; Repeticoes:4000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:13884931; Processos:1; Repeticoes:4000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:13934797; Processos:1; Repeticoes:4000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:6775; Processos:2; Repeticoes:1000; Tamanho:1000 ; Resultado:1000.000000
Tempo:6765; Processos:2; Repeticoes:1000; Tamanho:1000 ; Resultado:1000.000000
Tempo:6797; Processos:2; Repeticoes:1000; Tamanho:1000 ; Resultado:1000.000000
Tempo:6756; Processos:2; Repeticoes:1000; Tamanho:1000 ; Resultado:1000.000000
Tempo:6763; Processos:2; Repeticoes:1000; Tamanho:1000 ; Resultado:1000.000000
Tempo:7514; Processos:2; Repeticoes:1000; Tamanho:1000 ; Resultado:1000.000000
Tempo:6773; Processos:2; Repeticoes:1000; Tamanho:1000 ; Resultado:1000.000000
Tempo:9486; Processos:2; Repeticoes:1000; Tamanho:1000 ; Resultado:1000.000000
Tempo:6764; Processos:2; Repeticoes:1000; Tamanho:1000 ; Resultado:1000.000000
Tempo:13059; Processos:2; Repeticoes:1000; Tamanho:1000 ; Resultado:1000.000000
Tempo:13508; Processos:2; Repeticoes:2000; Tamanho:1000 ; Resultado:1000.000000
Tempo:13493; Processos:2; Repeticoes:2000; Tamanho:1000 ; Resultado:1000.000000
Tempo:13533; Processos:2; Repeticoes:2000; Tamanho:1000 ; Resultado:1000.000000
Tempo:14738; Processos:2; Repeticoes:2000; Tamanho:1000 ; Resultado:1000.000000
Tempo:15539; Processos:2; Repeticoes:2000; Tamanho:1000 ; Resultado:1000.000000
Tempo:13503; Processos:2; Repeticoes:2000; Tamanho:1000 ; Resultado:1000.000000
Tempo:14090; Processos:2; Repeticoes:2000; Tamanho:1000 ; Resultado:1000.000000
Tempo:15203; Processos:2; Repeticoes:2000; Tamanho:1000 ; Resultado:1000.000000
Tempo:19032; Processos:2; Repeticoes:2000; Tamanho:1000 ; Resultado:1000.000000
Tempo:15187; Processos:2; Repeticoes:2000; Tamanho:1000 ; Resultado:1000.000000
Tempo:22148; Processos:2; Repeticoes:3000; Tamanho:1000 ; Resultado:1000.000000
Tempo:24562; Processos:2; Repeticoes:3000; Tamanho:1000 ; Resultado:1000.000000
Tempo:20364; Processos:2; Repeticoes:3000; Tamanho:1000 ; Resultado:1000.000000
Tempo:20253; Processos:2; Repeticoes:3000; Tamanho:1000 ; Resultado:1000.000000
Tempo:23015; Processos:2; Repeticoes:3000; Tamanho:1000 ; Resultado:1000.000000
Tempo:20279; Processos:2; Repeticoes:3000; Tamanho:1000 ; Resultado:1000.000000
Tempo:20360; Processos:2; Repeticoes:3000; Tamanho:1000 ; Resultado:1000.000000
Tempo:20275; Processos:2; Repeticoes:3000; Tamanho:1000 ; Resultado:1000.000000
Tempo:22244; Processos:2; Repeticoes:3000; Tamanho:1000 ; Resultado:1000.000000
Tempo:20275; Processos:2; Repeticoes:3000; Tamanho:1000 ; Resultado:1000.000000
Tempo:39910; Processos:2; Repeticoes:4000; Tamanho:1000 ; Resultado:1000.000000
Tempo:28212; Processos:2; Repeticoes:4000; Tamanho:1000 ; Resultado:1000.000000
Tempo:28992; Processos:2; Repeticoes:4000; Tamanho:1000 ; Resultado:1000.000000
